AT+W,0,-14.86,-9.54,-5.93,-2.67
AT+W,2,-3.64,-5.71,-12.62,-12.62
AT+W,4,-3.64,-5.71,-12.62,-12.62
AT+W,6,-12.71,-12.49,-3.74,-5.58
AT+W,8,-3.83,-5.46,-12.80,-12.36
AT+W,10,-12.90,-12.23,-3.93,-5.33
AT+W,12,-4.02,-5.20,-12.99,-12.10
AT+W,14,-13.08,-11.97,-4.12,-5.08
AT+W,16,-4.22,-4.95,-13.18,-11.85
AT+W,18,-13.27,-11.72,-4.31,-4.82
AT+W,20,-4.41,-4.70,-13.36,-11.59
AT+W,22,-13.46,-11.46,-4.50,-4.57
AT+W,24,-4.60,-4.44,-13.55,-11.33
AT+W,26,-13.64,-11.21,-4.69,-4.32
AT+W,28,-4.79,-4.19,-13.74,-11.08
AT+W,30,-13.83,-10.95,-4.88,-4.06
AT+W,32,-4.98,-3.94,-13.93,-10.82
AT+W,34,-14.02,-10.69,-5.08,-3.81
AT+W,36,-5.17,-3.68,-14.11,-10.56
AT+W,38,-14.21,-10.44,-5.27,-3.56
AT+W,40,-5.36,-3.43,-14.30,-10.31
AT+W,42,-14.39,-10.18,-5.46,-3.30
AT+W,44,-5.55,-3.18,-14.49,-10.05
AT+W,46,-14.58,-9.92,-5.65,-3.05
AT+W,48,-5.74,-2.92,-14.67,-9.79
AT+W,50,-14.77,-9.67,-5.84,-2.79
AT+W,52,-5.93,-2.67,-14.86,-9.54
AT+N,4,0,0,50,0
